order,node_id_1based,x,y,next_node_id_1based
0,1,12661.6667,86437.2222,1454
1,1454,12661.6667,86437.2222,3087
2,3087,12661.6667,86437.2222,561
3,561,12616.6667,86450.0,1823
4,1823,12600.0,86450.0,3119
5,3119,12583.3333,86400.0,1888
6,1888,12583.3333,86400.0,3128
7,3128,12566.6667,86416.6667,3120
8,3120,12566.6667,86416.6667,548
9,548,12533.3333,86400.0,3076
10,3076,12533.3333,86400.0,109
11,109,12500.0,86366.6667,1009
12,1009,12492.2222,86357.5,1472
13,1472,12466.6667,86400.0,2931
14,2931,12482.7778,86433.6111,779
15,779,12500.0,86433.3333,1470
16,1470,12500.0,86450.0,2553
17,2553,12472.7778,86464.4444,124
18,124,12450.0,86466.6667,2791
19,2791,12400.0,86483.3333,1351
20,1351,12350.0,86483.3333,2683
21,2683,12250.0,86466.6667,461
22,461,12266.6667,86483.3333,3253
23,3253,12283.3333,86533.3333,2828
24,2828,12283.3333,86533.3333,1613
25,1613,12300.0,86566.6667,2030
26,2030,12300.0,86600.0,3057
27,3057,12300.0,86600.0,1980
28,1980,12283.3333,86600.0,2485
29,2485,12283.3333,86616.6667,834
30,834,12300.0,86650.0,2561
31,2561,12333.3333,86633.3333,2463
32,2463,12350.0,86650.0,2440
33,2440,12383.3333,86616.6667,1067
34,1067,12405.5556,86611.6667,1350
35,1350,12405.5556,86611.6667,1352
36,1352,12405.5556,86611.6667,3484
37,3484,12411.1111,86618.3333,1692
38,1692,12416.6667,86633.3333,1267
39,1267,12450.0,86616.6667,3361
40,3361,12433.3333,86666.6667,575
41,575,12400.0,86666.6667,1539
42,1539,12366.6667,86666.6667,1866
43,1866,12340.0,86675.2778,1865
44,1865,12340.0,86675.2778,1864
45,1864,12340.0,86675.2778,1175
46,1175,12340.0,86675.2778,1174
47,1174,12350.0,86700.0,1861
48,1861,12350.0,86700.0,1862
49,1862,12350.0,86700.0,416
50,416,12366.6667,86700.0,707
51,707,12383.3333,86716.6667,1724
52,1724,12400.0,86733.3333,1808
53,1808,12433.3333,86733.3333,1722
54,1722,12433.3333,86750.0,614
55,614,12416.6667,86766.6667,482
56,482,12400.0,86766.6667,3411
57,3411,12383.3333,86750.0,582
58,582,12366.6667,86750.0,3410
59,3410,12366.6667,86750.0,3412
60,3412,12366.6667,86750.0,108
61,108,12333.3333,86733.3333,432
62,432,12300.0,86716.6667,1746
63,1746,12300.0,86683.3333,470
64,470,12283.3333,86683.3333,2774
65,2774,12266.6667,86683.3333,2689
66,2689,12233.3333,86666.6667,885
67,885,12250.0,86633.3333,1834
68,1834,12233.3333,86616.6667,164
69,164,12250.0,86600.0,725
70,725,12266.6667,86583.3333,1304
71,1304,12267.5,86565.2778,1303
72,1303,12267.5,86565.2778,2552
73,2552,12250.0,86550.0,678
74,678,12233.3333,86550.0,3077
75,3077,12233.3333,86550.0,2387
76,2387,12233.3333,86566.6667,708
77,708,12200.0,86600.0,1513
78,1513,12183.3333,86583.3333,3316
79,3316,12150.0,86566.6667,3301
80,3301,12133.3333,86583.3333,260
81,260,12133.3333,86583.3333,720
82,720,12116.6667,86566.6667,3303
83,3303,12116.6667,86566.6667,2049
84,2049,12100.0,86583.3333,3191
85,3191,12100.0,86583.3333,3312
86,3312,12100.0,86600.0,719
87,719,12116.6667,86616.6667,2653
88,2653,12133.3333,86650.0,1375
89,1375,12116.6667,86683.3333,2268
90,2268,12100.0,86666.6667,2652
91,2652,12100.0,86666.6667,2767
92,2767,12083.3333,86633.3333,798
93,798,12066.6667,86666.6667,2482
94,2482,12050.0,86666.6667,356
95,356,12033.3333,86633.3333,960
96,960,11983.3333,86650.0,2409
97,2409,12016.6667,86683.3333,1763
98,1763,12050.0,86700.0,223
99,223,12054.1667,86705.2778,2404
100,2404,12054.1667,86705.2778,2859
